range_-100_-95,range_-105_-100,range_-10_-5,range_-110_-105,range_-115_-110,range_-120_-115,range_-125_-120,range_-130_-125,range_-135_-130,range_-140_-135,range_-145_-140,range_-150_-145,range_-155_-150,range_-15_-10,range_-160_-155,range_-165_-160,range_-170_-165,range_-175_-170,range_-180_-175,range_-185_-180,range_-190_-185,range_-195_-190,range_-200_-195,range_-20_-15,range_-25_-20,range_-30_-25,range_-35_-30,range_-40_-35,range_-45_-40,range_-50_-45,range_-55_-50,range_-5_0,range_-60_-55,range_-65_-60,range_-70_-65,range_-75_-70,range_-80_-75,range_-85_-80,range_-90_-85,range_-95_-90,range_0_5,range_100_105,range_105_110,range_10_15,range_110_115,range_115_120,range_120_125,range_125_130,range_130_135,range_135_140,range_140_145,range_145_150,range_150_155,range_155_160,range_15_20,range_160_165,range_165_170,range_170_175,range_175_180,range_180_185,range_185_190,range_190_195,range_20_25,range_25_30,range_30_35,range_35_40,range_40_45,range_45_50,range_50_55,range_55_60,range_5_10,range_60_65,range_65_70,range_70_75,range_75_80,range_80_85,range_85_90,range_90_95,range_95_100
4,1,2223,3,1,2,3,2,0,0,1,1,1,738,1,2,0,0,0,1,0,1,1,376,182,122,61,35,36,27,16,13847,19,11,10,7,4,2,1,2,64691,3,3,9621,2,3,4,6,3,1,2,0,0,0,1835,0,0,0,0,0,0,0,634,341,161,109,80,35,41,26,54583,24,13,14,11,2,3,4,1
0,0,2260,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,355,179,116,63,43,27,20,8,13677,9,3,3,0,4,0,0,0,64918,0,0,9691,0,0,0,0,0,0,0,0,0,0,1809,0,0,0,0,0,0,0,684,340,160,89,67,34,32,18,54617,15,4,2,2,1,2,0,0
1,1,2085,1,1,1,0,1,1,0,0,0,0,740,0,0,0,0,0,0,0,0,0,323,202,141,83,44,46,42,29,13003,28,17,16,3,4,2,4,3,65588,3,2,8955,3,2,0,0,2,0,1,0,0,0,1559,0,0,0,0,0,0,0,649,311,193,117,83,69,46,25,55483,27,13,14,16,7,6,3,1
3,4,3099,5,6,2,3,2,2,1,1,2,0,1375,1,1,0,2,1,1,0,0,0,766,469,319,197,148,123,99,67,14748,62,47,27,26,13,11,9,6,60847,11,6,10387,9,5,8,2,3,0,3,1,3,1,2597,3,1,0,2,2,3,0,1174,714,422,276,196,152,103,94,51089,49,47,35,37,24,15,13,18
0,1,2356,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,513,309,186,121,77,49,38,23,14235,24,18,8,6,2,1,4,0,64883,0,2,9404,0,1,1,0,0,0,0,0,0,0,1819,0,0,0,0,0,0,0,768,446,251,165,108,66,50,38,53013,22,23,20,7,6,1,0,2
25,14,3012,17,13,13,14,14,10,7,13,8,12,1183,5,7,5,8,4,3,6,4,5,687,397,242,201,161,118,87,70,13647,70,58,39,17,26,25,19,21,59608,29,26,10923,18,14,10,15,12,12,14,11,9,5,2695,4,5,6,5,6,7,4,1182,555,319,269,191,135,97,69,53063,48,65,51,30,37,28,34,25
0,0,2999,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,531,298,200,140,102,73,44,29,15461,23,24,10,9,7,6,1,0,60671,0,2,11128,0,0,0,0,0,0,0,0,0,0,2489,0,0,0,0,0,0,0,1007,543,311,201,123,77,64,44,52116,38,26,12,11,10,7,3,1
5,3,3378,2,2,1,2,1,2,0,1,0,0,1469,0,0,0,0,0,0,0,0,0,765,456,331,196,125,79,77,35,15252,31,27,18,22,15,8,3,6,59588,2,6,10951,3,3,0,0,2,3,1,2,0,0,2729,1,0,2,0,0,0,0,1299,733,422,272,190,122,85,44,51073,39,28,24,14,18,16,13,3
0,0,3167,0,0,0,0,0,0,0,0,0,0,1348,0,0,0,0,0,0,0,0,0,610,322,191,132,68,39,44,27,14623,16,10,11,8,5,2,0,0,59878,0,0,11125,0,0,0,0,0,0,0,0,0,0,2708,0,0,0,0,0,0,0,1195,611,348,181,124,71,56,41,52976,20,11,13,6,7,6,0,0
1,5,3153,5,3,4,2,3,0,2,0,1,1,1249,0,0,1,1,0,0,0,0,0,720,430,255,186,142,86,56,55,15791,36,23,16,15,6,9,5,3,59841,5,6,10995,5,4,8,1,2,0,1,2,0,0,2652,0,0,0,0,0,0,0,1130,602,386,262,171,132,101,41,51243,44,23,26,17,14,7,6,8
2,1,1764,0,4,2,1,1,0,2,0,0,0,565,0,0,0,0,0,0,0,0,0,287,133,95,64,58,35,21,26,13224,13,17,10,9,6,1,2,5,66706,4,1,8764,1,1,1,1,3,0,0,0,0,0,1411,0,0,0,0,0,0,0,445,234,129,96,63,56,51,21,55578,23,11,14,10,15,4,5,4
7,4,2075,3,6,0,1,3,1,1,2,0,2,710,2,2,1,0,0,0,0,0,0,389,198,137,91,72,44,33,23,13238,21,13,12,10,5,7,9,4,65976,7,9,8730,4,5,2,7,2,2,0,2,2,3,1554,2,0,0,2,0,0,0,610,298,192,121,63,60,53,33,55042,20,11,21,5,16,8,7,5
3,2,2401,1,1,2,4,1,1,1,3,1,1,914,0,1,1,0,1,0,0,0,1,497,258,158,138,87,59,56,33,13539,19,16,20,12,19,12,4,4,63314,4,2,9922,4,1,1,0,1,1,0,1,0,1,2080,0,0,0,0,1,0,0,781,445,302,141,115,87,56,36,54281,38,26,24,18,20,8,5,4
8,4,2421,4,3,2,3,2,4,1,2,1,1,927,0,1,0,0,0,0,0,0,0,498,314,211,136,98,58,57,40,13098,34,34,23,25,11,12,8,4,62458,6,7,9961,6,7,1,1,3,3,0,0,4,1,2002,0,0,0,0,0,0,0,853,438,277,219,148,117,84,61,55121,45,29,34,22,17,14,5,11
0,0,1487,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,250,152,76,57,41,16,6,12,10475,3,3,4,4,2,0,0,0,65272,0,0,8697,0,0,0,0,0,0,0,0,0,0,1342,0,0,0,0,0,0,0,545,239,128,78,54,43,15,11,60428,7,4,0,4,1,2,1,0
1,3,2129,1,2,1,0,3,2,1,2,1,1,748,0,1,0,0,0,0,0,0,0,373,196,138,95,62,50,30,26,12066,18,17,16,10,12,10,3,4,63584,6,3,9772,4,1,1,3,0,1,1,0,0,0,1837,0,0,0,0,0,0,0,696,373,211,140,103,69,44,30,57004,21,19,6,13,14,11,5,6
2,0,1815,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,364,204,113,69,70,34,37,30,11814,23,14,8,2,1,4,3,1,65084,2,3,9014,0,2,0,0,0,0,0,0,0,0,1626,0,0,0,0,0,0,0,671,335,201,113,68,53,38,25,57411,19,16,16,4,10,5,6,0
1,0,2084,0,0,0,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,0,255,148,77,45,35,32,12,16,12388,8,5,4,3,0,2,5,1,62991,2,1,10485,0,0,0,0,0,0,0,0,0,0,1852,0,0,0,0,0,0,0,621,265,131,83,52,37,15,13,57621,15,9,8,6,3,0,3,3
8,8,2690,8,3,3,4,4,3,1,2,1,1,1047,2,0,1,1,0,1,2,2,0,543,289,227,144,104,65,52,49,12704,34,24,21,17,13,16,9,9,60351,6,7,11006,3,2,4,7,0,3,3,2,3,2,2311,6,3,1,1,1,0,4,946,500,312,171,149,92,74,57,55647,43,34,38,20,22,26,12,10
7,3,2142,3,5,3,4,5,2,2,4,5,1,843,2,0,1,1,0,0,0,0,0,473,285,191,123,87,80,44,40,11109,35,27,16,23,18,10,16,6,59344,11,6,11432,10,7,3,4,2,2,4,4,3,1,2157,4,3,3,0,1,0,2,828,430,279,186,119,110,83,55,59133,37,27,23,21,14,13,7,11
5,4,1524,8,7,2,2,1,2,6,1,2,0,644,2,3,1,0,0,0,3,1,0,372,214,114,81,69,36,27,18,10028,19,12,11,6,6,7,4,2,62872,5,4,9491,7,2,3,6,0,1,5,2,2,2,1395,1,2,2,1,1,0,2,587,377,183,118,82,52,55,41,61373,20,16,12,11,3,5,8,6
0,1,1829,1,0,1,1,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,318,201,152,101,72,47,36,24,11758,29,21,11,6,8,1,1,3,62298,0,0,10382,0,2,0,1,0,0,0,0,0,0,1679,0,0,0,0,0,0,0,664,346,220,140,95,79,44,39,58633,22,18,16,12,5,5,6,2
2,6,2195,1,0,0,4,0,2,2,2,0,1,751,2,1,0,1,0,2,1,0,0,343,153,98,34,39,24,28,15,11821,10,5,8,7,3,5,2,4,62785,4,1,10113,3,3,2,1,1,0,0,0,1,2,1960,3,2,0,1,0,3,2,752,315,172,81,56,30,20,18,58017,21,13,7,9,5,5,3,3
0,0,2403,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,532,257,162,91,64,42,27,14,11829,17,8,5,1,1,0,0,0,59691,2,0,11263,0,0,0,0,0,0,0,0,0,0,2339,0,0,0,0,0,0,0,940,534,269,152,89,58,48,25,58038,10,9,10,3,4,1,2,0
5,1,2735,2,1,1,0,0,0,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,622,378,244,181,132,94,67,39,12660,32,23,18,12,8,8,6,5,57581,1,2,12260,1,0,1,2,2,0,0,0,0,2,2672,0,0,0,0,0,0,0,1180,587,317,250,173,137,81,75,56108,62,39,17,17,16,12,4,5
7,2,2908,3,2,5,2,0,0,1,0,1,0,1323,0,2,1,1,0,0,0,2,0,658,373,219,172,104,78,51,36,11697,25,23,16,17,9,8,7,5,55604,3,4,12687,9,4,2,1,2,0,0,2,0,1,3143,0,1,0,0,0,0,0,1352,717,407,246,165,79,64,37,57543,43,28,27,22,10,13,14,9
0,0,1633,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,327,166,109,63,42,19,18,4,10567,4,5,1,1,0,0,0,0,62837,0,0,10079,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0,0,0,606,282,157,103,60,42,29,17,60685,13,8,4,2,0,2,0,0
25,20,2816,17,14,17,17,15,13,10,6,7,9,1115,5,9,5,8,7,7,5,11,5,638,390,282,218,168,117,99,79,13760,54,42,45,44,26,27,31,28,57333,41,31,12132,26,14,20,24,16,12,14,8,4,8,2642,5,10,10,6,6,10,5,1077,599,371,265,176,145,116,100,54000,82,66,59,60,33,43,25,30
5,21,2529,9,5,4,4,6,7,3,9,7,1,1035,2,3,9,2,4,4,2,4,1,532,295,198,145,101,81,64,37,12864,31,20,17,19,13,15,14,13,58710,7,5,11641,6,12,7,5,9,6,4,3,2,2,2435,7,3,2,1,4,2,2,1018,515,318,194,131,100,64,55,56296,46,34,25,18,17,11,14,8
2,0,3245,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,590,350,209,155,107,60,35,34,13639,31,29,23,16,11,3,3,1,56119,7,1,12970,0,0,0,0,0,0,0,0,0,0,3157,0,0,0,0,0,0,0,1164,630,318,197,152,112,70,47,55159,33,19,37,18,14,6,9,5
0,0,2831,0,0,0,0,0,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,485,263,175,103,49,25,19,14,12798,9,5,3,4,1,0,0,0,57447,0,0,12774,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,1066,523,301,175,88,45,37,26,56934,9,6,8,1,0,0,0,0
1,1,2573,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,516,272,172,113,73,51,38,26,13024,21,12,9,3,3,4,0,2,60326,2,0,11243,0,0,0,0,0,0,0,0,0,0,2286,0,0,0,0,0,0,0,885,494,280,158,107,78,56,32,56090,25,17,20,12,9,8,4,0
0,0,1971,0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,318,155,107,72,43,28,24,12,11519,14,5,7,2,1,0,0,0,61068,0,0,11067,0,0,0,0,0,0,0,0,0,0,2077,0,0,0,0,0,0,0,749,328,185,99,62,39,23,16,59253,16,10,6,7,4,1,0,0
10,7,2320,5,7,2,5,4,3,3,2,1,0,950,2,0,2,1,0,1,0,0,0,492,274,185,152,108,63,59,38,11517,24,17,23,18,18,16,9,15,56672,10,8,12580,2,3,9,0,5,6,5,0,4,0,2324,4,1,1,3,1,0,0,973,505,299,202,118,106,81,53,59473,47,35,34,23,12,19,11,15
0,0,2315,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,414,211,104,83,41,23,7,9,12389,4,5,4,0,0,0,0,0,60207,0,0,11571,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,0,0,0,0,841,351,185,110,60,40,14,26,57814,14,8,5,1,0,1,2,0
0,0,2006,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,282,146,81,41,31,25,11,7,12338,6,0,0,0,0,0,0,0,63723,0,0,10050,0,0,0,0,0,0,0,0,0,0,1731,0,0,0,0,0,0,0,602,272,141,83,57,34,18,8,57604,4,3,0,0,0,0,0,0
11,9,2610,2,14,5,5,2,2,7,5,3,4,1080,3,0,6,2,1,1,3,3,1,612,421,245,189,149,106,61,61,11708,46,37,29,37,30,20,19,10,55520,13,12,12953,6,9,8,7,4,10,9,2,5,2,2618,3,1,0,1,3,3,3,1163,623,441,302,196,143,102,96,57850,63,51,31,34,26,20,19,11
4,1,2345,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,462,269,168,101,60,47,35,14,11583,15,8,6,6,4,1,4,1,55826,0,3,13372,1,0,3,1,1,0,0,0,0,0,2640,0,0,0,0,0,0,0,934,427,244,152,87,73,44,35,60136,25,24,11,11,5,4,2,0
6,5,1871,6,2,2,5,5,3,7,2,3,2,695,2,2,2,1,4,1,1,0,2,340,222,142,92,67,63,44,27,10308,32,10,18,8,11,10,6,6,57557,7,2,12269,5,8,3,3,2,9,6,4,3,3,2111,5,0,2,3,2,4,1,771,404,219,161,113,66,62,43,61975,21,24,17,23,18,5,18,3
10,4,2373,1,7,8,6,5,3,7,1,5,4,965,3,4,4,2,1,0,0,1,1,512,303,227,144,103,68,74,50,11573,41,33,26,18,9,11,10,6,57305,15,16,12208,10,7,5,7,8,4,9,5,3,3,2441,3,8,3,1,1,2,2,975,514,282,210,136,112,87,52,58725,43,37,32,20,20,19,10,12
3,2,2864,1,1,0,0,0,0,0,0,0,0,1081,0,0,0,0,0,0,0,0,0,505,299,162,122,81,61,39,24,14410,14,10,6,4,6,5,1,0,62561,1,1,9938,3,4,2,0,0,0,0,0,0,0,2242,0,0,0,0,0,0,0,830,435,251,169,109,73,41,43,53499,37,20,12,11,9,2,2,4
2,1,2093,1,0,1,1,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0,465,259,186,125,78,51,26,25,12230,22,15,14,12,8,7,3,5,62419,2,6,10121,3,2,1,1,3,1,1,0,0,0,1964,0,0,0,0,0,0,0,789,420,240,150,92,78,45,33,57132,22,18,15,13,9,8,9,2
16,14,2753,14,15,14,3,3,4,2,2,5,2,1176,3,2,2,2,3,3,4,2,3,627,403,262,204,123,104,97,86,12615,72,46,37,31,21,18,28,22,58907,23,8,11020,9,17,8,6,7,5,2,5,3,1,2536,2,4,0,2,4,3,0,1149,624,377,253,183,130,101,88,55290,66,74,55,39,39,30,26,23
2,3,2736,1,1,1,0,2,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,548,306,177,146,86,65,48,28,13892,24,17,6,8,9,7,2,3,60491,5,1,10932,1,1,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,937,482,295,174,101,106,56,41,54668,35,16,21,13,11,11,10,6
0,0,2236,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,593,317,212,156,86,57,27,21,12162,13,12,5,4,1,2,1,2,58203,2,0,12003,0,0,0,0,0,0,0,0,0,0,2282,0,0,0,0,0,0,0,904,559,322,222,141,89,65,34,58263,24,19,4,3,3,2,4,3
20,26,2748,15,22,11,18,11,14,13,6,7,5,1175,10,7,2,4,7,5,3,3,4,614,431,274,190,140,138,88,79,12473,70,61,47,48,41,40,37,22,56172,20,19,12437,16,17,16,15,11,14,6,7,7,5,2772,5,9,8,8,4,6,3,1166,629,420,255,224,181,120,110,55914,92,68,54,39,32,21,29,26
0,0,2582,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,558,348,201,128,88,63,42,30,12830,32,22,19,8,8,10,2,0,59032,1,1,11370,0,2,0,0,0,0,0,0,0,0,2366,0,0,0,0,0,0,0,1030,535,302,203,124,100,72,49,56672,29,28,21,22,9,8,6,3
0,0,2315,0,0,0,0,0,0,0,0,0,0,873,0,0,0,0,0,0,0,0,0,403,206,96,80,47,30,25,17,12978,16,10,3,2,2,0,1,1,61704,0,0,10765,0,0,0,0,0,0,0,0,0,0,2184,0,0,0,0,0,0,0,782,352,187,95,68,48,30,15,56615,16,10,4,7,6,3,3,1
9,9,3086,5,9,1,2,1,1,0,0,0,0,1365,0,0,0,0,0,0,0,0,0,705,451,269,204,132,83,73,55,13618,45,32,32,22,13,14,4,10,56306,8,9,12873,7,4,6,6,2,2,2,1,0,1,2913,1,1,0,0,0,0,0,1313,727,387,265,186,111,108,70,54218,54,44,35,19,28,18,16,9
1,1,2524,1,0,0,1,0,1,1,0,0,0,976,0,0,0,0,0,0,0,0,0,496,271,136,89,43,58,28,26,11982,20,16,12,8,4,5,2,2,58191,2,1,12242,0,0,0,0,0,0,0,0,0,0,2531,0,0,0,0,0,0,0,1041,501,290,134,105,65,42,32,58041,18,12,10,13,10,6,6,3
2,0,2068,0,0,0,0,0,0,0,0,0,0,817,0,0,0,0,0,0,0,0,0,385,206,97,51,53,24,12,5,10922,8,5,2,0,2,1,2,1,60260,2,2,11245,1,1,0,0,0,0,0,0,0,0,2107,0,0,0,0,0,0,0,821,417,214,137,61,39,24,15,59962,14,5,2,2,1,2,2,1
4,1,1829,1,2,2,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,353,219,101,89,57,43,28,20,10978,14,6,11,8,9,1,3,4,60261,3,7,10979,2,2,0,0,0,0,0,0,0,0,1802,0,0,0,0,0,0,0,711,341,203,123,77,81,35,28,60827,12,11,8,6,3,7,10,5
5,10,2070,7,4,4,0,3,0,4,2,1,0,882,0,0,0,0,0,0,0,0,0,464,254,185,152,110,76,50,39,10349,34,18,33,22,14,10,13,12,55865,9,9,12817,4,6,5,4,3,3,4,1,0,1,2352,1,1,0,0,0,0,1,970,495,343,209,166,106,76,47,61470,40,36,34,31,21,18,9,13
6,4,2091,2,2,0,3,1,1,1,0,0,0,751,0,0,0,0,0,0,0,0,0,353,218,125,82,76,45,39,31,11666,18,20,15,6,7,7,7,6,60354,7,3,11254,7,3,3,2,0,2,2,0,0,1,2038,0,1,1,0,0,0,0,799,312,215,139,98,71,47,37,58909,28,19,15,18,7,8,10,7
24,20,2714,10,13,10,9,8,2,6,6,3,9,1128,8,2,2,1,2,2,3,3,1,730,420,249,187,145,88,87,44,12953,48,29,19,29,14,18,15,14,58692,16,13,11148,10,8,13,10,13,14,5,11,12,6,2539,8,2,5,2,3,2,3,1119,634,408,272,170,132,94,64,55146,72,45,51,40,29,21,20,10
14,6,3503,8,7,6,8,4,2,4,2,0,1,1332,1,4,2,0,2,0,0,2,1,759,436,280,166,129,77,57,52,14610,38,33,23,24,23,17,13,14,56104,13,11,13145,10,7,6,5,8,3,5,3,2,6,3232,2,2,0,0,2,1,1,1397,672,445,259,176,123,74,71,52318,54,41,30,21,21,26,18,18
2,3,2825,1,3,0,0,0,0,0,0,0,0,927,0,0,0,0,0,0,0,0,0,477,290,161,89,70,58,41,26,13578,30,12,4,13,6,7,2,5,59303,4,3,11650,1,2,1,2,0,0,0,0,0,0,2475,0,0,0,0,0,0,0,979,442,285,166,102,72,62,34,55697,30,14,12,5,6,5,12,6
11,9,2669,10,2,9,3,2,4,3,1,0,2,1007,1,1,0,1,2,1,0,3,2,594,339,192,165,139,88,85,56,12945,47,36,29,22,25,15,18,13,58195,16,11,12355,11,6,6,4,2,2,1,5,3,1,2745,2,2,0,0,2,1,2,951,480,315,229,186,128,89,59,55368,58,46,38,32,24,26,17,9
6,3,2661,2,1,3,1,1,1,0,0,0,0,979,0,0,0,0,0,0,0,0,0,535,355,229,168,117,88,60,51,13770,42,28,16,26,9,12,14,7,59455,5,3,11566,3,1,2,4,1,0,0,0,0,0,2384,0,0,0,0,0,0,0,930,566,383,228,161,110,63,73,54685,52,38,29,17,24,15,10,7
8,18,2838,5,3,5,3,1,1,0,4,2,1,1067,0,0,1,1,0,0,0,0,0,589,372,241,169,129,112,83,74,14111,60,48,39,32,14,23,10,11,61015,14,9,10613,11,9,6,5,2,5,3,0,0,0,2381,0,1,1,0,0,0,0,927,555,295,225,156,119,103,93,53052,69,65,55,38,42,23,13,17
2,1,2169,5,2,2,2,2,4,0,2,1,1,794,0,0,0,0,0,0,0,0,0,414,282,182,117,84,64,56,42,11589,31,20,9,11,8,9,8,3,61102,4,5,10709,6,2,1,0,0,1,1,0,1,1,2013,0,0,0,0,0,0,0,791,438,259,144,108,72,72,68,58131,38,33,21,22,13,14,7,7
5,9,2399,7,5,3,6,5,4,3,1,2,4,1015,1,3,2,2,3,2,2,0,0,556,321,216,131,103,78,50,32,12144,40,35,21,16,13,12,14,16,59688,7,14,10904,10,11,4,10,6,8,3,2,6,4,2393,7,4,2,0,1,1,1,980,514,301,201,129,116,69,62,57025,49,38,28,24,20,12,10,14
3,6,2830,4,7,2,5,4,2,5,8,2,2,1106,0,1,3,1,3,0,0,1,1,567,366,272,172,118,74,65,47,13004,45,27,26,30,24,11,14,5,57148,12,6,12528,9,6,3,4,6,5,5,6,5,2,2642,3,5,2,3,1,1,0,1080,609,392,242,179,94,79,58,55772,40,31,35,27,31,19,15,11
5,7,2804,3,1,5,2,5,1,1,0,0,1,1233,3,0,2,0,0,0,0,0,0,615,352,238,169,105,90,58,57,12539,31,28,17,14,14,10,10,5,54584,10,2,13754,6,3,5,6,3,0,3,2,0,1,3077,0,1,0,0,1,1,0,1218,689,361,255,142,92,77,74,56998,61,41,42,21,16,7,14,7
25,21,2848,24,15,12,23,12,13,14,12,7,5,1096,4,5,7,8,2,5,4,5,7,581,434,283,222,144,127,95,80,13521,50,54,57,34,43,32,30,22,58853,23,23,11161,17,19,21,13,14,7,8,12,16,3,2521,7,5,7,6,7,6,3,1054,622,387,288,226,209,141,91,53794,78,72,50,44,31,29,30,19
6,15,2446,17,8,6,10,8,4,4,3,5,1,1011,4,1,2,4,2,2,2,1,2,519,319,216,173,121,96,85,76,12431,43,45,29,31,31,11,21,17,57548,25,5,12226,16,12,11,10,7,11,9,1,4,4,2544,6,2,3,4,5,3,2,979,504,283,226,159,102,84,89,56963,61,44,43,35,27,24,29,22
10,2,2429,11,8,3,5,4,6,6,2,3,8,871,2,2,2,3,0,1,0,1,1,448,279,158,100,76,62,38,34,12222,31,27,19,18,19,14,14,8,57475,11,7,12710,3,6,9,7,7,5,5,5,3,5,2518,6,5,1,1,4,4,1,959,445,246,160,93,77,64,59,57979,40,29,21,17,22,14,14,15
8,8,2802,6,7,3,2,5,5,1,4,3,2,1315,0,1,1,1,0,0,0,0,0,789,493,307,213,141,140,91,67,11569,72,47,28,25,29,20,11,13,53997,19,18,13648,11,9,5,8,6,8,6,2,2,2,3076,1,4,3,1,0,0,0,1423,683,465,333,222,148,127,99,57145,74,58,36,36,34,24,19,19
0,0,2585,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,444,223,132,75,32,33,23,19,11869,8,9,5,4,5,2,0,0,57222,1,1,12909,0,0,0,0,0,0,0,0,0,0,2646,0,0,0,0,0,0,0,1023,478,213,133,70,51,33,35,58694,18,12,6,5,2,5,4,0
20,11,2785,11,13,12,10,5,8,4,7,3,5,1092,3,3,2,2,1,2,1,1,0,595,342,232,156,137,116,73,49,12887,56,28,36,27,23,23,25,12,55072,20,6,13536,12,8,5,9,14,5,10,7,5,3,2800,5,3,1,6,3,5,1,1115,597,311,224,188,136,106,67,56617,54,40,42,35,23,30,23,17
10,15,2996,8,15,12,10,10,5,7,3,7,4,1364,3,2,5,5,5,1,2,2,1,748,518,351,237,190,140,128,79,13558,61,53,39,36,26,25,15,23,55728,24,14,12638,14,15,12,11,4,6,3,7,5,2,2865,5,4,3,0,1,3,4,1342,755,467,348,280,168,151,113,53859,95,70,56,45,37,32,17,20
6,9,2447,8,8,5,3,10,2,4,2,2,0,930,1,1,1,2,1,1,0,3,0,447,242,151,118,70,58,47,41,13021,31,35,36,24,13,23,13,16,58722,11,8,12137,6,12,7,4,3,5,5,2,1,2,2466,1,0,2,3,2,0,2,896,489,257,156,126,93,61,44,56435,38,27,35,27,21,19,17,20
16,14,2864,15,9,13,14,8,6,5,3,2,2,1116,1,0,1,1,0,1,0,0,0,527,327,218,123,80,63,55,59,13572,43,37,25,26,24,26,23,18,57988,13,15,12343,13,17,8,9,8,5,8,7,3,2,2727,2,2,2,3,0,0,1,1110,560,324,207,122,82,68,52,54700,43,56,39,30,32,24,13,20
5,8,2988,3,6,0,1,2,1,1,0,1,0,1220,2,0,0,2,0,0,1,1,0,618,319,205,131,89,79,41,43,14099,26,27,13,20,17,5,11,8,58299,9,9,11677,4,3,3,6,4,1,2,1,0,1,2745,2,1,0,2,1,2,0,1146,619,360,213,144,98,69,42,54415,24,31,14,13,12,12,3,9
4,4,2309,3,3,2,0,1,2,1,0,0,0,904,0,0,0,0,0,0,0,0,0,518,279,198,142,106,84,58,40,12899,31,24,16,12,9,10,2,4,59727,0,5,11387,4,1,3,2,3,1,0,1,0,0,2296,0,0,0,0,0,0,0,885,455,261,206,143,112,79,61,56531,48,42,31,13,12,10,7,9
2,1,2454,2,4,1,2,3,2,1,2,0,0,945,0,0,0,0,0,0,0,0,0,432,233,123,85,52,35,21,24,12368,15,9,12,7,4,5,2,5,59106,4,5,11651,2,6,2,1,2,0,1,1,1,0,2420,0,0,0,0,0,0,0,942,431,231,149,64,39,32,35,57936,18,13,13,12,7,10,7,8
2,3,2444,0,1,1,3,1,1,0,0,0,0,876,0,0,0,0,0,0,0,0,0,411,238,132,101,48,48,20,19,12725,17,10,12,10,4,11,9,6,60881,7,2,10783,1,1,0,0,0,0,0,0,0,0,2238,0,0,0,0,0,0,0,853,405,226,114,77,48,46,37,57029,24,15,19,13,5,14,6,3
7,4,2843,6,8,4,6,3,2,2,1,4,1,1196,1,0,1,0,2,0,0,0,0,692,427,281,194,119,108,94,66,13331,51,33,31,22,22,11,17,6,58837,13,8,11157,9,1,7,7,5,3,6,3,2,3,2550,1,1,2,0,1,0,1,1069,709,407,270,181,125,102,68,54641,44,49,34,27,16,21,12,11
7,2,2872,5,0,4,5,1,0,1,1,1,0,1155,2,2,1,1,0,1,0,0,0,599,347,234,182,107,77,55,41,13088,36,18,22,7,7,3,4,2,56636,5,6,13057,7,3,2,4,3,3,2,4,4,0,2955,2,1,1,2,0,3,1,1141,617,361,259,143,108,76,39,55530,32,18,24,17,5,14,8,6
0,1,2338,1,0,4,0,2,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,446,232,143,84,64,43,15,23,12384,6,3,4,4,2,4,2,2,60411,3,1,11451,2,0,1,1,1,0,0,0,0,0,2236,0,0,0,0,0,0,0,838,456,273,152,89,63,44,21,57157,11,5,9,8,7,0,3,3
2,0,2339,0,0,0,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,0,484,249,142,97,61,63,32,24,13061,12,17,5,4,6,3,3,1,61717,2,2,10776,0,0,0,0,0,0,0,0,0,0,2096,0,0,0,0,0,0,0,811,396,227,170,116,68,46,31,56047,14,12,8,9,3,3,2,0
